Sec,	Num,	Datetime(utc)
0378,	063,	2017-09-23 00:18:00
0379,	039,	2017-09-23 00:19:00
0380,	031,	2017-09-23 00:20:00
0381,	030,	2017-09-23 00:21:00
0382,	049,	2017-09-23 00:22:00
0383,	049,	2017-09-23 00:23:00
0384,	042,	2017-09-23 00:24:00
0385,	053,	2017-09-23 00:25:00
0386,	050,	2017-09-23 00:26:00
0387,	034,	2017-09-23 00:27:00
0388,	041,	2017-09-23 00:28:00
0389,	025,	2017-09-23 00:29:00
0390,	015,	2017-09-23 00:30:00
0391,	035,	2017-09-23 00:31:00
0392,	025,	2017-09-23 00:32:00
0393,	031,	2017-09-23 00:33:00
0394,	047,	2017-09-23 00:34:00
0395,	032,	2017-09-23 00:35:00
0396,	025,	2017-09-23 00:36:00
0397,	028,	2017-09-23 00:37:00
0398,	021,	2017-09-23 00:38:00
0399,	022,	2017-09-23 00:39:00
0400,	036,	2017-09-23 00:40:00
0401,	051,	2017-09-23 00:41:00
0402,	021,	2017-09-23 00:42:00
0403,	023,	2017-09-23 00:43:00
0404,	048,	2017-09-23 00:44:00
0405,	045,	2017-09-23 00:45:00
0406,	053,	2017-09-23 00:46:00
0407,	053,	2017-09-23 00:47:00
0408,	022,	2017-09-23 00:48:00
0409,	033,	2017-09-23 00:49:00
0410,	021,	2017-09-23 00:50:00
0411,	021,	2017-09-23 00:51:00
0412,	041,	2017-09-23 00:52:00
0413,	063,	2017-09-23 00:53:00
0414,	021,	2017-09-23 00:54:00
0415,	032,	2017-09-23 00:55:00
0416,	022,	2017-09-23 00:56:00
0417,	130,	2017-09-23 00:57:00
0418,	039,	2017-09-23 00:58:00
0419,	086,	2017-09-23 00:59:00
0420,	045,	2017-09-23 01:00:00
0421,	060,	2017-09-23 01:01:00
0422,	051,	2017-09-23 01:02:00
0423,	041,	2017-09-23 01:03:00
0424,	053,	2017-09-23 01:04:00
0425,	061,	2017-09-23 01:05:00
0426,	097,	2017-09-23 01:06:00
0427,	026,	2017-09-23 01:07:00
0428,	041,	2017-09-23 01:08:00
0429,	066,	2017-09-23 01:09:00
0430,	032,	2017-09-23 01:10:00
0431,	051,	2017-09-23 01:11:00
0432,	037,	2017-09-23 01:12:00
0433,	051,	2017-09-23 01:13:00
0434,	024,	2017-09-23 01:14:00
0435,	080,	2017-09-23 01:15:00
0436,	031,	2017-09-23 01:16:00
0437,	096,	2017-09-23 01:17:00
0438,	030,	2017-09-23 01:18:00
0439,	033,	2017-09-23 01:19:00
0440,	033,	2017-09-23 01:20:00
0441,	031,	2017-09-23 01:21:00
0442,	032,	2017-09-23 01:22:00
0443,	048,	2017-09-23 01:23:00
0444,	038,	2017-09-23 01:24:00
0445,	016,	2017-09-23 01:25:00
0446,	021,	2017-09-23 01:26:00
0447,	027,	2017-09-23 01:27:00
0448,	039,	2017-09-23 01:28:00
0449,	062,	2017-09-23 01:29:00
0450,	033,	2017-09-23 01:30:00
0451,	032,	2017-09-23 01:31:00
0452,	066,	2017-09-23 01:32:00
0453,	032,	2017-09-23 01:33:00
0454,	044,	2017-09-23 01:34:00
0455,	046,	2017-09-23 01:35:00
0456,	030,	2017-09-23 01:36:00
0457,	020,	2017-09-23 01:37:00
0458,	047,	2017-09-23 01:38:00
0459,	046,	2017-09-23 01:39:00
0460,	021,	2017-09-23 01:40:00
0461,	023,	2017-09-23 01:41:00
0462,	035,	2017-09-23 01:42:00
0463,	028,	2017-09-23 01:43:00
0464,	046,	2017-09-23 01:44:00
0465,	055,	2017-09-23 01:45:00
0466,	049,	2017-09-23 01:46:00
0467,	040,	2017-09-23 01:47:00
0468,	033,	2017-09-23 01:48:00
0469,	031,	2017-09-23 01:49:00
0470,	031,	2017-09-23 01:50:00
0471,	031,	2017-09-23 01:51:00
0472,	050,	2017-09-23 01:52:00
0473,	027,	2017-09-23 01:53:00
0474,	037,	2017-09-23 01:54:00
0475,	042,	2017-09-23 01:55:00
0476,	078,	2017-09-23 01:56:00
0477,	041,	2017-09-23 01:57:00
0478,	044,	2017-09-23 01:58:00
0479,	051,	2017-09-23 01:59:00
0480,	034,	2017-09-23 02:00:00
0481,	027,	2017-09-23 02:01:00
0482,	037,	2017-09-23 02:02:00
0483,	064,	2017-09-23 02:03:00
0484,	048,	2017-09-23 02:04:00
0485,	047,	2017-09-23 02:05:00
0486,	063,	2017-09-23 02:06:00
0487,	050,	2017-09-23 02:07:00
0488,	045,	2017-09-23 02:08:00
0489,	050,	2017-09-23 02:09:00
0490,	043,	2017-09-23 02:10:00
0491,	044,	2017-09-23 02:11:00
0492,	040,	2017-09-23 02:12:00
0493,	049,	2017-09-23 02:13:00
0494,	028,	2017-09-23 02:14:00
0495,	116,	2017-09-23 02:15:00
0496,	061,	2017-09-23 02:16:00
0497,	038,	2017-09-23 02:17:00
0498,	077,	2017-09-23 02:18:00
0499,	065,	2017-09-23 02:19:00
0500,	064,	2017-09-23 02:20:00
0501,	108,	2017-09-23 02:21:00
0502,	142,	2017-09-23 02:22:00
0503,	094,	2017-09-23 02:23:00
0504,	089,	2017-09-23 02:24:00
0505,	091,	2017-09-23 02:25:00
0506,	103,	2017-09-23 02:26:00
0507,	157,	2017-09-23 02:27:00
0508,	176,	2017-09-23 02:28:00
0509,	124,	2017-09-23 02:29:00
0510,	138,	2017-09-23 02:30:00
0511,	103,	2017-09-23 02:31:00
0512,	083,	2017-09-23 02:32:00
0513,	065,	2017-09-23 02:33:00
0514,	044,	2017-09-23 02:34:00
0515,	101,	2017-09-23 02:35:00
0516,	086,	2017-09-23 02:36:00
0517,	109,	2017-09-23 02:37:00
0518,	062,	2017-09-23 02:38:00
0519,	060,	2017-09-23 02:39:00
0520,	056,	2017-09-23 02:40:00
0521,	086,	2017-09-23 02:41:00
0522,	057,	2017-09-23 02:42:00
0523,	039,	2017-09-23 02:43:00
0524,	049,	2017-09-23 02:44:00
0525,	072,	2017-09-23 02:45:00
0526,	039,	2017-09-23 02:46:00
0527,	083,	2017-09-23 02:47:00
0528,	071,	2017-09-23 02:48:00
0529,	055,	2017-09-23 02:49:00
0530,	073,	2017-09-23 02:50:00
0531,	047,	2017-09-23 02:51:00
0532,	057,	2017-09-23 02:52:00
0533,	060,	2017-09-23 02:53:00
0534,	094,	2017-09-23 02:54:00
0535,	056,	2017-09-23 02:55:00
0536,	089,	2017-09-23 02:56:00
0537,	129,	2017-09-23 02:57:00
0538,	054,	2017-09-23 02:58:00
0539,	048,	2017-09-23 02:59:00
0540,	046,	2017-09-23 03:00:00
0541,	078,	2017-09-23 03:01:00
0542,	095,	2017-09-23 03:02:00
0543,	085,	2017-09-23 03:03:00
0544,	074,	2017-09-23 03:04:00
0545,	106,	2017-09-23 03:05:00
0546,	079,	2017-09-23 03:06:00
0547,	072,	2017-09-23 03:07:00
0548,	062,	2017-09-23 03:08:00
0549,	047,	2017-09-23 03:09:00
0550,	079,	2017-09-23 03:10:00
0551,	044,	2017-09-23 03:11:00
0552,	053,	2017-09-23 03:12:00
0553,	059,	2017-09-23 03:13:00
0554,	046,	2017-09-23 03:14:00
0555,	041,	2017-09-23 03:15:00
0556,	114,	2017-09-23 03:16:00
0557,	035,	2017-09-23 03:17:00
0558,	052,	2017-09-23 03:18:00
0559,	073,	2017-09-23 03:19:00
0560,	049,	2017-09-23 03:20:00
0561,	072,	2017-09-23 03:21:00
0562,	028,	2017-09-23 03:22:00
0563,	060,	2017-09-23 03:23:00
0564,	047,	2017-09-23 03:24:00
0565,	039,	2017-09-23 03:25:00
0566,	045,	2017-09-23 03:26:00
0567,	058,	2017-09-23 03:27:00
0568,	027,	2017-09-23 03:28:00
0569,	052,	2017-09-23 03:29:00
0570,	040,	2017-09-23 03:30:00
0571,	064,	2017-09-23 03:31:00
0572,	046,	2017-09-23 03:32:00
0573,	051,	2017-09-23 03:33:00
0574,	073,	2017-09-23 03:34:00
0575,	027,	2017-09-23 03:35:00
0576,	056,	2017-09-23 03:36:00
0577,	034,	2017-09-23 03:37:00
0578,	043,	2017-09-23 03:38:00
0579,	058,	2017-09-23 03:39:00
